Date,Open,Close,Volume,Nifty50,VWAP,RVOL,IPR,SMA_Close_F,SMA_Close_M,SMA_Close_S,EMA_Close_F,EMA_Close_M,EMA_Close_S,DEMA_Close_F,DEMA_Close_M,DEMA_Close_S,macd,dn,up,RSI_Close,TrueRange,AvgTrueRange,OBV,SAR,COD,VOL,lag1,lag2,lag3,lag4,lag5,rpi,eps
06/03/2018,935,923.125,2288414,10249.25,953.6219232,0.841237903,20.20001221,937.7299927,937.1599976,938.8899994,934.0103725,937.4823502,941.3796901,929.4674126,932.5992156,933.0231747,-0.411740556,920.6588094,957.1211894,39.60798412,20.20001221,14.25433957,4387446,960.875,-11.875,2.160429113,934.9749756,937.1749878,942.0999756,951.2750244,955.7750244,0.0507,8.95
07/03/2018,920,916.2999878,2814082,10154.2002,952.8478137,1.056802017,12.45001221,930.7349854,935.6299988,936.8587494,928.1069109,933.6310116,938.991147,921.14263,926.4846244,929.2694274,-0.570697452,918.0735972,955.6439016,36.94380167,12.45001221,14.12545904,1573364,960.875,-3.700012207,1.353262196,923.125,934.9749756,937.1749878,942.0999756,951.2750244,0.0507,8.95
08/03/2018,919.9000244,926.4249878,2759362,10242.65039,952.3211356,1.089773468,13.25,927.5999878,935.4024963,935.7599976,927.5462699,932.3208254,937.79437,922.5296552,925.4018109,927.9157301,-0.602856659,917.2347339,954.2852612,43.06246003,13.25,14.06292626,4332726,959.01,6.524963379,1.440373915,916.2999878,923.125,934.9749756,937.1749878,942.0999756,0.0507,8.95
09/03/2018,927.4749756,925.5250244,2054054,10226.84961,951.9293537,0.84681279,10.625,925.2699951,935.2950012,935.2162476,926.8725214,931.0852252,936.6258609,923.078946,924.4132678,926.6308213,-0.629019063,916.1670548,954.2654403,42.66615787,10.625,13.81736009,2278672,957.2196,-1.949951172,1.145583469,926.4249878,916.2999878,923.125,934.9749756,937.1749878,0.0507,8.95
12/03/2018,930.0999756,933.625,3278558,10421.40039,951.5119278,1.332600243,8.024963379,925,934.6299988,934.8737488,929.1233476,931.5470025,936.3400646,928.0948481,926.4659459,927.038356,-0.573190477,915.9693024,953.7781952,47.36157373,9.199951172,13.48754517,5557230,955.500816,3.525024414,0.862806536,925.5250244,926.4249878,916.2999878,923.125,934.9749756,0.0444,8.95
13/03/2018,933.7249756,930.125,2562100,10426.84961,951.1374595,1.055164412,14.875,926.4,932.0649963,935.1424988,929.4572317,931.2884566,935.7481537,928.9941548,926.9196909,926.7967837,-0.552841816,916.6735721,953.6114254,45.62291222,14.875,13.58664909,2995130,953.8507834,-3.599975586,1.593081516,933.625,925.5250244,926.4249878,916.2999878,923.125,0.0444,8.95
14/03/2018,928,932.25,1840196,10410.90039,950.9028851,0.763365828,9.950012207,929.5900024,930.1624939,934.8387482,930.3881545,931.4632826,935.4149962,930.7000517,928.0318775,927.0147094,-0.512446643,916.3893627,953.2881337,46.89752782,9.950012207,13.32688931,4835326,952.266752,4.25,1.072199591,930.125,933.625,925.5250244,926.4249878,916.2999878,0.0444,8.95
15/03/2018,932.5999756,940.4000244,2935462,10360.15039,950.6988489,1.189419889,11.15002441,932.3850098,929.9924988,934.7799988,933.7254445,933.0881448,935.8897608,936.1582359,931.6100642,928.7190502,-0.40529381,916.4094755,953.1505221,51.58489346,11.5,13.19639722,7770788,950.7460819,7.800048828,1.195584892,932.25,930.125,933.625,925.5250244,926.4249878,0.0444,8.95
16/03/2018,940,926.5,3948168,10195.15039,950.0826633,1.552864955,17.27496338,932.5800049,928.925,934.0574982,931.316963,931.8903003,934.9954978,931.3331696,929.700907,927.6986171,-0.435498187,915.5781594,952.5368369,44.38834318,17.27496338,13.48772337,3822620,949.2862387,-13.5,1.837762062,940.4000244,932.25,930.125,933.625,925.5250244,0.0444,8.95
19/03/2018,926.5,923.625,3919370,10094.25,949.4303631,1.479629438,8.424987793,930.5800049,927.7900024,933.2737488,928.7529753,930.3875184,933.9125933,927.0544546,927.3666478,926.3308827,-0.47890519,914.4243569,952.1231406,43.05055441,8.424987793,13.1260994,-96750,947.8847891,-2.875,0.909334894,926.5,940.4000244,932.25,930.125,933.625,0.0444,8.95
