Date,Open,Close,Volume,Nifty50,VWAP,RVOL,IPR,SMA_Close_F,SMA_Close_M,SMA_Close_S,EMA_Close_F,EMA_Close_M,EMA_Close_S,DEMA_Close_F,DEMA_Close_M,DEMA_Close_S,macd,dn,up,RSI_Close,TrueRange,AvgTrueRange,OBV,SAR,COD,VOL,lag1,lag2,lag3,lag4,lag5,rpi,eps
06/03/2018,1300,1293.199951,738512,10249.25,1351.70911,0.639533509,18.70007324,1316.259985,1322.659998,1331.147504,1310.178469,1320.246689,1331.211798,1298.76883,1306.652658,1313.60001,-0.956974121,1297.492043,1364.802965,35.44277619,18.70007324,23.51346887,-1534587,1350.811888,-6.800048828,1.438467172,1299.75,1324.25,1317.75,1346.349976,1333.300049,0.0507,6.13
07/03/2018,1293.050049,1293.849976,917890,10154.2002,1350.702367,0.818518279,16.5,1305.759985,1318.86499,1328.052502,1304.735638,1315.447287,1327.653529,1293.500658,1300.398113,1308.499668,-1.062891457,1292.675413,1363.429592,35.73705099,16.5,23.0125068,-616697,1345.882933,0.799926758,1.276052695,1293.199951,1299.75,1324.25,1317.75,1346.349976,0.0507,6.13
08/03/2018,1300,1293.150024,739272,10242.65039,1349.906978,0.683657836,21.35009766,1300.83999,1315.119995,1326.442505,1300.873766,1311.393239,1324.367481,1290.8092,1295.763331,1304.064707,-1.13870702,1287.928274,1364.956736,35.5491366,21.35009766,22.89376329,-1355969,1341.348294,-6.849975586,1.642315204,1293.849976,1293.199951,1299.75,1324.25,1317.75,0.0507,6.13
09/03/2018,1295,1300.75,852176,10226.84961,1349.136141,0.814783624,16.90002441,1296.13999,1312.55,1325.847504,1300.832511,1309.458105,1322.118197,1294.095296,1295.086706,1301.713954,-1.139546436,1286.149842,1365.545165,39.28237115,16.90002441,22.46563909,-503793,1335.63346,5.75,1.30502119,1293.150024,1293.849976,1293.199951,1299.75,1324.25,0.0507,6.13
12/03/2018,1305,1324.199951,874857,10421.40039,1348.741066,0.8474578,33.89990234,1301.02998,1312.654993,1325.579999,1308.621658,1312.13844,1322.316459,1309.322946,1302.573026,1304.034858,-0.985060276,1285.91365,1365.246347,49.08261832,33.89990234,23.28237218,371064,1330.490109,19.19995117,2.597693666,1300.75,1293.150024,1293.849976,1293.199951,1299.75,0.0444,6.13
13/03/2018,1324.900024,1320.550049,1067772,10426.84961,1348.206275,1.021576856,17.75,1306.5,1311.379993,1324.954999,1312.597788,1313.667824,1322.14823,1315.716067,1307.092889,1305.455525,-0.874895649,1285.385358,1364.524639,47.78967267,17.75,22.88720274,-696708,1284.199951,-4.349975586,1.339723728,1324.199951,1300.75,1293.150024,1293.849976,1293.199951,0.0444,6.13
14/03/2018,1317.400024,1316.900024,760665,10410.90039,1347.78884,0.742161938,13.84997559,1311.11001,1308.434998,1323.577502,1314.031867,1314.255497,1321.648401,1317.066772,1309.356828,1306.093251,-0.800709637,1284.910561,1362.244444,46.47130478,13.84997559,22.24168651,-1457373,1284.199951,-0.5,1.05131132,1320.550049,1324.199951,1300.75,1293.150024,1293.849976,0.0444,6.13
15/03/2018,1313.900024,1299.949951,536838,10360.15039,1347.342854,0.532100628,25.75,1312.469995,1306.654993,1321.104999,1309.337895,1311.654488,1319.581882,1308.23185,1305.518389,1303.638467,-0.836264165,1283.039648,1359.17035,40.83726732,25.75,22.49228033,-1994211,1286.089951,-13.95007324,1.959814257,1316.900024,1320.550049,1324.199951,1300.75,1293.150024,0.0444,6.13
16/03/2018,1303,1299.150024,3646692,10195.15039,1344.47266,3.173810294,29.59997559,1312.15,1304.144995,1318.154999,1305.941938,1309.380949,1317.63599,1302.940604,1302.500336,1301.450428,-0.859694658,1282.996808,1353.313189,40.58718264,29.59997559,22.99997285,-5640903,1331.449951,-3.849975586,2.271678863,1299.949951,1316.900024,1320.550049,1324.199951,1300.75,0.0444,6.13
19/03/2018,1308,1309.400024,1244199,10094.25,1343.774184,1.075694008,14.94995117,1309.190015,1305.109998,1316.020001,1307.094634,1309.384418,1316.851613,1305.862208,1303.757663,1301.497858,-0.80608531,1284.353882,1347.686121,45.216712,19.04992676,22.7178267,-4396704,1331.449951,1.400024414,1.142962628,1299.150024,1299.949951,1316.900024,1320.550049,1324.199951,0.0444,6.13
20/03/2018,1306,1313.25,1249242,10124.34961,1343.175793,1.045992744,14.5,1307.730005,1307.115002,1314.8875,1309.146422,1310.087251,1316.508602,1309.692664,1306.058587,1302.306766,-0.731500013,1284.554277,1345.220723,46.89067656,14.5,22.13083908,-3147462,1329.435952,7.25,1.110260337,1309.400024,1299.150024,1299.949951,1316.900024,1320.550049,0.0444,6.13
21/03/2018,1313.25,1315.599976,1698614,10155.25,1342.459825,1.364527791,18.09997559,1307.469995,1309.290002,1314.077496,1311.297607,1311.089564,1316.422066,1313.095891,1308.61346,1303.494492,-0.650435658,1284.745353,1343.40964,47.93641316,18.09997559,21.84292026,-1448848,1327.502513,2.349975586,1.378258183,1313.25,1309.400024,1299.150024,1299.949951,1316.900024,0.0444,6.13
22/03/2018,1312.5,1311.849976,950972,10114.75,1342.021263,0.778169661,11.44995117,1309.85,1311.159998,1313.139996,1311.48173,1311.227821,1315.986629,1312.803334,1309.315036,1303.896285,-0.60228927,1284.798279,1341.481713,46.36743391,11.44995117,21.10056532,-2399820,1325.646412,-0.650024414,0.872377232,1315.599976,1313.25,1309.400024,1299.150024,1299.949951,0.0444,6.13
23/03/2018,1290,1301.650024,1301609,9998.049805,1341.244799,1.104481149,30.19995117,1310.35,1311.25,1311.9,1308.204495,1309.486403,1314.621238,1306.900741,1306.496602,1302.447002,-0.619742486,1283.827318,1339.972682,42.31089721,30.19995117,21.75052146,-3701429,1323.864554,11.65002441,2.341081486,1311.849976,1315.599976,1313.25,1309.400024,1299.150024,0.0444,6.13
26/03/2018,1303,1324.300049,1032138,10130.65039,1340.990252,0.870817676,31.90002441,1313.330005,1311.26001,1311.957501,1313.569679,1312.179793,1315.54303,1316.2773,1311.937275,1305.362246,-0.488666771,1283.788336,1340.126667,52.29219567,31.90002441,22.47548595,-2669291,1281.099976,21.30004883,2.448198343,1301.650024,1311.849976,1315.599976,1313.25,1309.400024,0.0444,6.13
27/03/2018,1339,1332.800049,1040328,10184.15039,1340.868091,0.88030259,18.84997559,1317.240015,1312.48501,1311.932501,1319.979803,1315.928931,1317.186555,1326.058298,1318.797983,1309.46237,-0.328893115,1283.838358,1340.026644,55.41011278,18.84997559,22.21652093,-1628963,1281.099976,-6.199951172,1.407765167,1324.300049,1301.650024,1311.849976,1315.599976,1313.25,0.0444,6.13
28/03/2018,1326.050049,1333.349976,1337677,10113.7002,1340.726616,1.130902312,17.20007324,1320.790015,1314.130005,1311.282501,1324.436527,1319.096394,1318.725929,1331.460007,1324.03536,1313.130146,-0.196793515,1285.936495,1336.628507,55.61223267,17.20007324,21.85820323,-291286,1283.455977,7.299926758,1.297090804,1332.800049,1324.300049,1301.650024,1311.849976,1315.599976,0.0444,6.13
02/04/2018,1315,1351.300049,708747,10211.7998,1340.830996,0.629915164,45.55004883,1328.680029,1319.265015,1312.960004,1333.391034,1324.951604,1321.828226,1344.043026,1333.783202,1319.572215,0.017127826,1282.250411,1343.669596,61.71282558,45.55004883,23.55047792,417461,1285.717738,36.30004883,3.46388204,1333.349976,1332.800049,1324.300049,1301.650024,1311.849976,0.0444,6.13
03/04/2018,1347.099976,1348.400024,979726,10245,1340.932894,0.870066476,16.84997559,1338.030029,1324.190015,1314.167505,1338.394031,1329.214953,1324.358873,1348.83069,1339.929001,1324.607354,0.166552528,1280.065408,1348.269602,60.27156884,16.84997559,23.07187061,-562265,1290.207676,1.300048828,1.250833338,1351.300049,1333.349976,1332.800049,1324.300049,1301.650024,0.0444,6.13
04/04/2018,1348,1357.449951,912607,10128.40039,1341.137457,0.807955262,20.44995117,1344.66001,1328.995007,1317.052502,1344.746004,1334.348589,1327.510404,1355.938426,1347.314876,1330.586606,0.335620386,1278.806439,1355.298565,63.16278649,20.44995117,22.88459065,350342,1294.428219,9.449951172,1.517058692,1348.400024,1351.300049,1333.349976,1332.800049,1324.300049,0.0444,6.13
05/04/2018,1380,1382.199951,588716,10325.15039,1341.462924,0.524685085,21.10009766,1354.53999,1335.890002,1321.502502,1357.230653,1343.048837,1332.718933,1373.015367,1360.776002,1340.214641,0.611360637,1275.474245,1367.53076,69.66471603,26.35009766,23.13212687,939058,1298.395528,2.199951172,1.528992584,1357.449951,1348.400024,1351.300049,1333.349976,1332.800049,0.0444,6.13
06/04/2018,1381.949951,1374.800049,633937,10331.59961,1341.745046,0.572228352,19.5,1362.830005,1341.81001,1325.550006,1363.087118,1348.821784,1336.726658,1377.514571,1368.049149,1347.134526,0.775027821,1275.868374,1375.231639,65.91845548,19.75,22.89054637,305121,1305.22789,-7.149902344,1.411049654,1382.199951,1357.449951,1348.400024,1351.300049,1333.349976,0.0444,6.13
09/04/2018,1367.949951,1391.599976,923543,10379.34961,1342.352213,0.826767581,28.90002441,1370.88999,1349.78501,1330.472504,1372.591404,1356.599637,1341.952688,1388.545896,1378.694816,1356.097644,0.99285118,1275.391576,1385.553432,69.87872338,28.90002441,23.31979481,1228664,1311.513663,23.65002441,2.112652176,1374.800049,1382.199951,1357.449951,1348.400024,1351.300049,0.0444,6.13
10/04/2018,1398.800049,1391.5,969036,10402.25,1342.972327,0.862979489,15.80004883,1379.509985,1358.770007,1335.010004,1378.894269,1362.945158,1346.67148,1393.732508,1386.21482,1363.73868,1.150165202,1275.682619,1394.337389,69.82672399,15.80004883,22.78267009,259628,1320.002299,-7.300048828,1.129543057,1391.599976,1374.800049,1382.199951,1357.449951,1348.400024,0.0444,6.13
11/04/2018,1393,1409.150024,1015714,10417.15039,1343.83611,0.89891079,34.94995117,1389.85,1367.255005,1339.257507,1388.979521,1371.346043,1352.621817,1405.595181,1397.258309,1373.447209,1.362434135,1272.000162,1406.514853,73.56648771,34.94995117,23.6517616,1275342,1329.938029,16.15002441,2.508969933,1391.5,1391.599976,1374.800049,1382.199951,1357.449951,0.0444,6.13
12/04/2018,1408,1412.75,510556,10458.65039,1344.285302,0.463266749,18.90002441,1395.96001,1375.25,1343.867505,1396.903014,1378.874035,1358.348311,1413.262449,1406.234246,1382.371445,1.532332646,1270.051668,1417.683341,74.26705541,18.90002441,23.3123518,1785898,1342.616705,4.75,1.342331279,1409.150024,1391.5,1391.599976,1374.800049,1382.199951,0.0428,6.13
13/04/2018,1412,1410.550049,534981,10480.59961,1344.734819,0.490451172,14.65002441,1403.11001,1382.970007,1348.550006,1401.452026,1384.63331,1363.319905,1415.39099,1411.731072,1389.55323,1.633617291,1270.415905,1426.684107,72.99390416,14.65002441,22.69361413,1250917,1353.520366,-1.449951172,1.03753714,1412.75,1409.150024,1391.5,1391.599976,1374.800049,0.0428,6.13
16/04/2018,1408.900024,1419.5,325041,10528.34961,1345.041705,0.300907121,18.34997559,1408.690015,1389.790002,1354.527509,1407.468017,1390.972708,1368.67039,1420.771321,1418.330385,1397.246219,1.744807082,1273.927242,1435.127775,74.88053322,18.34997559,22.38335423,1575958,1362.897515,10.59997559,1.302432768,1410.550049,1412.75,1409.150024,1391.5,1391.599976,0.0428,6.13
17/04/2018,1420.5,1445.550049,1176082,10548.7002,1346.512582,1.229345547,30.69995117,1419.500024,1399.505005,1361.84751,1420.162028,1400.895861,1375.992263,1437.493571,1431.398358,1408.471135,1.960069725,1276.256852,1447.438167,79.3929832,31,22.99882893,2752040,1372.545905,25.05004883,2.161207404,1419.5,1410.550049,1412.75,1409.150024,1391.5,0.0428,6.13
18/04/2018,1450.5,1450.5,765225,10526.2002,1347.493406,0.820419062,16.15002441,1427.77002,1408.81001,1368.902509,1430.274685,1409.914795,1383.088238,1448.570819,1442.250512,1418.894052,2.131921156,1278.634166,1459.170851,80.12364399,16.15002441,22.50962861,3517265,1386.577642,0,1.113410852,1445.550049,1419.5,1410.550049,1412.75,1409.150024,0.0428,6.13
19/04/2018,1451.400024,1454.199951,682820,10565.2998,1348.383997,0.754994909,19.55004883,1436.06001,1416.01001,1375.950006,1438.249774,1417.966642,1389.860782,1455.763922,1451.011011,1428.384058,2.260810309,1282.219567,1469.680445,80.6752072,19.55004883,22.29823005,4200085,1400.492118,2.799926758,1.346978676,1450.5,1445.550049,1419.5,1410.550049,1412.75,0.0428,6.13
20/04/2018,1442,1467.800049,674146,10564.0498,1349.359961,0.790156779,30.95007324,1447.51001,1425.31001,1383.56001,1448.099865,1427.027261,1397.283569,1466.342692,1461.476798,1438.853817,2.410473377,1286.027413,1481.092606,82.58788083,30.95007324,22.91621885,4874231,1415.321858,25.80004883,2.146329628,1454.199951,1450.5,1445.550049,1419.5,1410.550049,0.0428,6.13
23/04/2018,1471,1452.75,395622,10584.7002,1349.853473,0.479302138,21,1454.16001,1431.425012,1390.605011,1449.64991,1431.704123,1402.566086,1462.845158,1463.71663,1444.956684,2.413420043,1294.464154,1486.745868,73.8742407,21,22.77934608,4478609,1428.960618,-18.25,1.427600272,1467.800049,1454.199951,1450.5,1445.550049,1419.5,0.0428,6.13
24/04/2018,1464,1459.650024,1218174,10614.34961,1351.443852,1.483333512,24.05004883,1456.980005,1438.240015,1398.505011,1452.983282,1436.785196,1408.002652,1464.002361,1467.134489,1451.274847,2.425634071,1307.048632,1489.96139,75.16782705,24.05004883,22.87011056,5696783,1439.326075,-4.349975586,1.642762898,1452.75,1467.800049,1454.199951,1450.5,1445.550049,0.0428,6.13
25/04/2018,1459,1459.199951,504777,10570.5498,1352.086754,0.635041269,13.94995117,1458.719995,1443.245007,1405.250006,1455.055505,1440.860606,1412.878585,1463.78304,1469.026272,1456.441177,2.403831247,1316.831743,1493.668269,74.90729098,13.94995117,22.23295632,5192006,1445.699951,0.199951172,0.956130992,1459.650024,1452.75,1467.800049,1454.199951,1450.5,0.0428,6.13
26/04/2018,1463,1491.25,1321586,10617.7998,1354.227139,1.633734401,38.75,1466.130005,1451.095007,1413.172504,1467.120337,1450.022314,1420.342529,1480.981914,1480.562893,1466.509396,2.536065255,1323.751444,1502.593563,80.17650903,39.40002441,23.45917547,6513592,1449.050049,28.25,2.648667122,1459.199951,1459.650024,1452.75,1467.800049,1454.199951,0.0428,6.13
27/04/2018,1491.25,1473.949951,818770,10692.2998,1355.357175,1.045696224,27.59997559,1467.359985,1457.434998,1420.202502,1469.396875,1454.372793,1425.447998,1480.155619,1482.920023,1471.837254,2.512906432,1334.979883,1505.425122,71.45423171,27.59997559,23.7549469,5694822,1459.849976,-17.30004883,1.850794675,1491.25,1459.199951,1459.650024,1452.75,1467.800049,0.0428,6.13
30/04/2018,1475,1508.900024,612159,10739.34961,1356.433128,0.786674067,39,1478.58999,1466.375,1428.082501,1482.564591,1464.286835,1433.39581,1498.515565,1495.755149,1482.557919,2.656985681,1340.68423,1515.480772,76.91748483,39.60009766,24.88674339,6306981,1469.900024,33.90002441,2.644067797,1473.949951,1491.25,1459.199951,1459.650024,1452.75,0.0428,6.13
