Date,Open,Close,Volume,Nifty50,VWAP,RVOL,IPR,SMA_Close_F,SMA_Close_M,SMA_Close_S,EMA_Close_F,EMA_Close_M,EMA_Close_S,DEMA_Close_F,DEMA_Close_M,DEMA_Close_S,macd,dn,up,RSI_Close,TrueRange,AvgTrueRange,OBV,SAR,COD,VOL,lag1,lag2,lag3,lag4,lag5,rpi,eps
06/03/2018,1375,1328.550049,4370,10249.25,1400.555653,0.431929152,80,1395.919995,1378.140002,1349.757513,1371.148627,1371.366344,1363.749792,1359.401254,1381.713722,1370.058237,0.02016276,1251.177794,1448.337233,46.08065283,80,68.37596317,39372,1315.462685,-46.44995117,5.818181818,1358.099976,1419.449951,1435.550049,1437.949951,1379.099976,0.0507,4.5
07/03/2018,1320,1302.699951,22822,10154.2002,1398.073461,2.218938075,106,1368.869995,1377.769995,1351.09751,1348.332402,1358.881545,1357.935522,1325.290003,1357.132746,1358.382632,-0.368897019,1255.899423,1446.295597,42.93126908,106,71.06339437,16550,1445,-17.30004883,8.03030303,1328.550049,1358.099976,1419.449951,1435.550049,1437.949951,0.0507,4.5
08/03/2018,1322,1330.199951,27403,10242.65039,1396.067309,2.437815814,66,1347.799976,1374.809985,1354.150006,1342.288252,1353.66671,1355.294039,1322.897219,1347.969191,1353.308654,-0.509645219,1266.004284,1442.295729,47.07527846,66,70.70172334,43953,1445,8.199951172,4.992435703,1302.699951,1328.550049,1358.099976,1419.449951,1435.550049,0.0507,4.5
09/03/2018,1338.949951,1332.650024,11875,10226.84961,1395.2653,1.055963862,32.44995117,1330.43999,1371.874988,1355.595007,1339.075509,1349.845494,1353.137466,1324.006326,1342.057439,1349.38998,-0.600160525,1269.88775,1441.302265,47.44146035,32.44995117,67.9694539,55828,1437.56,-6.299926758,2.423537276,1330.199951,1302.699951,1328.550049,1358.099976,1419.449951,0.0507,4.5
12/03/2018,1340,1331.400024,7547,10421.40039,1394.756086,0.693317165,17,1325.1,1365.56499,1353.852509,1336.517014,1346.491772,1351.067233,1324.765229,1337.375773,1345.803584,-0.671967995,1267.666881,1440.038136,47.26179509,17,64.32877863,48281,1430.4176,-8.599975586,1.268656716,1332.650024,1330.199951,1302.699951,1328.550049,1358.099976,0.0444,4.5
13/03/2018,1333.949951,1362.150024,4952,10426.84961,1394.586389,0.488591796,55,1331.819995,1363.869995,1352.982507,1345.061351,1349.338727,1352.122737,1342.923052,1344.209509,1348.315367,-0.538960985,1267.503669,1438.461346,52.07050639,55,63.66243729,53233,1423.560896,28.20007324,4.12309322,1331.400024,1332.650024,1330.199951,1302.699951,1328.550049,0.0444,4.5
14/03/2018,1341.400024,1356.699951,3466,10410.90039,1394.44888,0.343066416,35.14990234,1342.619995,1355.744995,1351.702502,1348.940884,1350.677132,1352.558662,1350.101707,1347.575557,1349.508307,-0.460802202,1267.257618,1436.147387,51.17978129,35.14990234,61.62582766,49767,1416.97846,15.29992676,2.620389273,1362.150024,1331.400024,1332.650024,1330.199951,1302.699951,0.0444,4.5
15/03/2018,1356.699951,1331.449951,5876,10360.15039,1394.063609,0.589530713,50.54992676,1342.869995,1345.334985,1352.229999,1343.110573,1347.181281,1350.548309,1339.997581,1341.783387,1345.969573,-0.543452597,1268.432027,1436.027971,47.15516157,50.54992676,60.83469188,43891,1410.659322,-25.25,3.725947415,1356.699951,1362.150024,1331.400024,1332.650024,1330.199951,0.0444,4.5
16/03/2018,1322,1328.199951,9398,10195.15039,1393.42563,0.929266761,68,1341.97998,1336.209985,1353.294995,1338.140366,1343.73013,1348.419894,1332.751566,1336.490002,1342.351519,-0.621555251,1271.306639,1435.283351,46.64670477,68,61.3464996,34493,1404.592949,6.199951172,5.143721634,1331.449951,1356.699951,1362.150024,1331.400024,1332.650024,0.0444,4.5
19/03/2018,1360,1287.099976,7084,10094.25,1392.654936,0.688914066,84.80004883,1333.119971,1329.109985,1352.624994,1321.126902,1333.433738,1342.579902,1306.19206,1319.085677,1331.805665,-0.920606212,1268.725121,1436.524867,40.6738376,84.80004883,63.02175312,27409,1398.769231,-72.90002441,6.235297708,1328.199951,1331.449951,1356.699951,1362.150024,1331.400024,0.0444,4.5
